AoA,Cl_XFOIL,Cl_NF,Cl_Corr,Cd_XFOIL,Cd_NF,Cd_Corr,Cm_XFOIL,Cm_NF,Cm_Corr,err_Cl_before,err_Cl_after
-2.523,0.436,0.4339,0.4392832306419383,0.00861,0.00856,0.008202150138643383,-0.18,-0.17906,-0.18076205300274156,-0.0020999999999999908,0.003283230641938306
-2.437,0.4451,0.44297,0.44841028547433953,0.00861,0.00857,0.008209319292281808,-0.1799,-0.17892,-0.18063738948171373,-0.0021300000000000208,0.003310285474339536
-2.352,0.4542,0.452,0.45744852727623087,0.00862,0.00859,0.008227508285655159,-0.1798,-0.17878,-0.18048289662510658,-0.0021999999999999797,0.0032485272762308726
-2.266,0.4634,0.46101,0.46655949048385786,0.00863,0.00861,0.008225895381943347,-0.1797,-0.17864,-0.18034287658809045,-0.0023900000000000032,0.0031594904838578852
-2.181,0.4726,0.47,0.47563646635338225,0.00865,0.00863,0.008240848889560195,-0.1796,-0.1785,-0.18017558640502368,-0.0026000000000000467,0.003036466353382228
-2.095,0.4816,0.47897,0.48470443621907044,0.00864,0.00865,0.008261337856226219,-0.1795,-0.17836,-0.18002709204705275,-0.0026299999999999657,0.003104436219070472
-2.01,0.4909,0.48793,0.493651054153288,0.00864,0.00868,0.008291846053500054,-0.1794,-0.17821,-0.17985763634135865,-0.002970000000000028,0.002751054153288024
-1.925,0.5001,0.49689,0.5025986014123592,0.00865,0.0087,0.008316899008781665,-0.1793,-0.17807,-0.17968176913203218,-0.0032099999999999906,0.002498601412359247
-1.839,0.5093,0.50585,0.5115253661720499,0.00866,0.00873,0.008358696804571533,-0.1792,-0.17792,-0.17949903370386136,-0.003449999999999953,0.0022253661720499363
-1.754,0.5186,0.51483,0.5202907425126867,0.00867,0.00875,0.008379935036375519,-0.1791,-0.17779,-0.17931586428097104,-0.00376999999999994,0.0016907425126867492
-1.668,0.5276,0.52381,0.5292042072210265,0.00867,0.00878,0.00842689007605567,-0.179,-0.17765,-0.1791269311755187,-0.00378999999999996,0.001604207221026499
-1.583,0.537,0.5328,0.5381737847025262,0.00867,0.0088,0.008443534208738942,-0.1789,-0.17752,-0.17893727811434593,-0.0041999999999999815,0.0011737847025261594
-1.498,0.5462,0.5417052325581395,0.5470779084750428,0.00868,0.008829651162790697,0.008477285855882477,-0.1789,-0.17739151162790698,-0.1787639570057165,-0.004494767441860503,0.0008779084750427657
-1.412,0.5553,0.55082,0.5561412699353462,0.0087,0.00885,0.008496867563249312,-0.1787,-0.17727,-0.17863322315677396,-0.0044800000000000395,0.0008412699353461672
-1.327,0.5647,0.55985,0.5650154491457886,0.00869,0.00888,0.008530594865673967,-0.1787,-0.17714,-0.1784335626384951,-0.004850000000000021,0.0003154491457886266
-1.241,0.5739,0.56887,0.5739489490041173,0.00869,0.0089,0.008552440800907774,-0.1786,-0.17702,-0.1782856405495072,-0.005029999999999979,4.8949004117337935e-05
-1.156,0.5829,0.5779,0.5829257889778539,0.00871,0.00892,0.008576049472547535,-0.1784,-0.1769,-0.17812691354667307,-0.0050000000000000044,2.5788977853880013e-05
-1.07,0.5924,0.58693,0.5919494258713807,0.00872,0.00894,0.008602908486667723,-0.1784,-0.17678,-0.17795113459129794,-0.005470000000000086,-0.0004505741286193743
-0.985,0.6016,0.59594,0.6007347320590413,0.00874,0.00897,0.008644983840127308,-0.1783,-0.17666,-0.17776181929848547,-0.005659999999999998,-0.0008652679409587583
-0.814,0.62,0.61396,0.6186555159390446,0.00874,0.00902,0.008705394865765104,-0.1781,-0.17642,-0.17735759020481465,-0.006040000000000045,-0.001344484060955442
-0.729,0.6292,0.62295,0.6276585827263965,0.00875,0.00904,0.008720567534433466,-0.178,-0.1763,-0.17723639019430856,-0.006249999999999978,-0.0015414172736034626
-0.643,0.6382,0.63193,0.6365622398567032,0.00878,0.00907,0.008762922367741245,-0.1778,-0.17618,-0.17699086126865587,-0.006269999999999998,-0.0016377601432967515
-0.558,0.6475,0.6409,0.6455193760531632,0.0088,0.00909,0.008790442453395763,-0.1777,-0.17606,-0.1768085642382313,-0.006599999999999939,-0.001980623946836735
-0.472,0.6567,0.64987,0.6544514769322252,0.00879,0.00912,0.008823859193119371,-0.1776,-0.17594,-0.1765837280212462,-0.006830000000000003,-0.002248523067774788
-0.387,0.6658,0.65883,0.663268629751497,0.00881,0.00915,0.008857007997300286,-0.1775,-0.17582,-0.17645529476809474,-0.006969999999999921,-0.0025313702485029177
-0.301,0.675,0.6678840697674419,0.6723059572092988,0.00883,0.009180348837209303,0.008897120153298814,-0.1774,-0.1756986046511628,-0.17633573400250663,-0.0071159302325581875,-0.00269404279070129
-0.216,0.6843,0.67673,0.681151887441857,0.00884,0.00921,0.00892546629581533,-0.1773,-0.17558,-0.1762104085215096,-0.007569999999999966,-0.003148112558143068
-0.131,0.6933,0.68568,0.6900491771934512,0.00887,0.00923,0.008944522298318214,-0.1771,-0.17546,-0.17607716885317481,-0.007620000000000071,-0.00325082280654887
-0.045,0.7023,0.69463,0.6990021488841573,0.00888,0.00926,0.008975553522585836,-0.177,-0.17534,-0.17595475684298817,-0.007670000000000066,-0.003297851115842687
0.04,0.7116,0.70357,0.7079239314337595,0.00889,0.00929,0.009002957967972826,-0.1769,-0.17522,-0.17583475684298816,-0.008029999999999982,-0.0036760685662404757
0.126,0.7207,0.71251,0.7167748094295021,0.00891,0.00932,0.009047723436164877,-0.1767,-0.1751,-0.1757193032833403,-0.00819000000000003,-0.003925190570497894
0.211,0.7296,0.72144,0.7256516496077681,0.00895,0.00934,0.009067723436164877,-0.1765,-0.17498,-0.17556804429085124,-0.008160000000000056,-0.0039483503922319585
0.296,0.7388,0.73037,0.7345903248572283,0.00896,0.00937,0.009102199077162835,-0.1764,-0.17487,-0.1753843301519495,-0.008430000000000049,-0.004209675142771707
0.382,0.7479,0.73929,0.7434269252747828,0.00897,0.0094,0.009130457421633245,-0.1763,-0.17475,-0.1752494764894788,-0.008610000000000007,-0.004473074725217185
0.467,0.7568,0.7482,0.7523797022197639,0.009,0.00942,0.009158242007356127,-0.1761,-0.17463,-0.17510760923833463,-0.008600000000000052,-0.004420297780236115
0.553,0.7659,0.7571,0.7612185306320097,0.00902,0.00945,0.009187852106873316,-0.176,-0.17452,-0.17498274633242475,-0.00880000000000003,-0.0046814693679902986
0.638,0.775,0.766,0.7701340277053242,0.00905,0.00948,0.009227457274450748,-0.1758,-0.1744,-0.17484993605250368,-0.009000000000000008,-0.00486597229467578
0.724,0.7839,0.77488,0.7790171868911597,0.00908,0.0095,0.009248665958302727,-0.1756,-0.17428,-0.1747180239817102,-0.009020000000000028,-0.0048828131088403115
0.809,0.7928,0.78376,0.7879057354005568,0.00909,0.00953,0.00928102639669057,-0.1755,-0.17416,-0.1745896454664146,-0.009039999999999937,-0.004894264599443199
0.894,0.8019,0.79262,0.7967990526901206,0.00911,0.00956,0.009309642001099638,-0.1753,-0.17404,-0.17447521325364423,-0.009279999999999955,-0.005100947309879311
0.98,0.8108,0.80147,0.8056372353656756,0.00915,0.00959,0.009340811664821706,-0.1751,-0.17391,-0.17432604358282844,-0.00932999999999995,-0.005162764634324413
1.065,0.8196,0.81031,0.814446571308617,0.00919,0.00961,0.00936165627506516,-0.1749,-0.17379,-0.17417521671507316,-0.00929000000000002,-0.005153428691383022
1.151,0.8287,0.81914,0.8232877750813211,0.00921,0.00964,0.00939500954748428,-0.1748,-0.17366,-0.17403259677123342,-0.009560000000000013,-0.005412224918678876
1.236,0.8376,0.82796,0.8321195566845675,0.00923,0.00967,0.009423220538020404,-0.1746,-0.17354,-0.17389254277975558,-0.009639999999999982,-0.005480443315432515
1.322,0.8463,0.83677,0.8408630594314689,0.00927,0.0097,0.00945577879519035,-0.1744,-0.17341,-0.17373628866541382,-0.009530000000000038,-0.005436940568531168
1.407,0.8554,0.84557,0.8496521539595598,0.00929,0.00973,0.009486464893196428,-0.1742,-0.17328,-0.1735788690472759,-0.009830000000000005,-0.005747846040440208
1.492,0.8644,0.85436,0.8583776826155122,0.00932,0.00976,0.009517993975245213,-0.1741,-0.17316,-0.17341544102322223,-0.010039999999999938,-0.006022317384487774
1.578,0.8731,0.86314,0.8671576826155122,0.00937,0.00979,0.009556086046705199,-0.1738,-0.17303,-0.17322385287006548,-0.009959999999999969,-0.005942317384487805
1.663,0.8819,0.87192,0.8759275255110898,0.00939,0.00982,0.009592256877392567,-0.1736,-0.1729,-0.17301879624002564,-0.009979999999999989,-0.005972474488910251
1.749,0.8909,0.88069,0.8846787267843014,0.00941,0.00985,0.009622667088061067,-0.1735,-0.17277,-0.1728673508160349,-0.010210000000000052,-0.006221273215698653
1.834,0.8996,0.88944,0.8934112788150037,0.00945,0.00988,0.009664560058521298,-0.1732,-0.17264,-0.17270585713687697,-0.010159999999999947,-0.006188721184996249
1.92,0.9082,0.8982,0.9021939425082827,0.0095,0.00991,0.009698412225827938,-0.173,-0.17251,-0.17252677920187667,-0.010000000000000009,-0.006006057491717343
2.005,0.9172,0.90694,0.9109091584584765,0.00952,0.00995,0.00974508485372181,-0.1728,-0.17238,-0.17236606591279977,-0.010260000000000047,-0.006290841541523484
2.091,0.926,0.9157816279069768,0.9197292403519527,0.00956,0.009980465116279069,0.009783364465725362,-0.1726,-0.172248488372093,-0.17220583490013702,-0.010218372093023231,-0.006270759648047353
2.176,0.9344,0.92442,0.9283703073009151,0.0096,0.01002,0.00982751280846568,-0.1723,-0.17212,-0.1719275535555492,-0.009979999999999989,-0.006029692699084932
2.261,0.9434,0.93314,0.9371081921965838,0.00962,0.01005,0.009867414572000896,-0.1721,-0.17199,-0.17171571223231802,-0.010260000000000047,-0.006291807803416205
2.347,0.9521,0.94186,0.9457960540032063,0.00966,0.01009,0.009909447430789387,-0.1719,-0.17186,-0.17147174413596494,-0.010239999999999916,-0.006303945996793625
2.432,0.9605,0.95057,0.9544590539729507,0.00971,0.01012,0.00995198203899371,-0.1716,-0.17173,-0.17131283610283593,-0.009929999999999994,-0.006040946027049299
2.518,0.9692,0.95927,0.9629882890989636,0.00975,0.01016,0.0099939540537769,-0.1714,-0.1716,-0.1711027644678725,-0.009929999999999994,-0.006211710901036338
2.603,0.9779,0.96797,0.971665669037571,0.0098,0.0102,0.010053558303282558,-0.1712,-0.17147,-0.1708206868164713,-0.009929999999999994,-0.00623433096242898
2.688,0.9863,0.97665,0.9803305645823869,0.00984,0.01024,0.010103236446524772,-0.1709,-0.17133,-0.1705203691678596,-0.009649999999999936,-0.005969435417613078
2.774,0.9948,0.98531,0.9888660918292209,0.00988,0.01028,0.010168559099631663,-0.1706,-0.1712,-0.17026953472927983,-0.009489999999999998,-0.005933908170779101
2.859,1.0035,0.99396,0.9973418029017042,0.00992,0.01032,0.010210242271698587,-0.1704,-0.17107,-0.17001104130741423,-0.009540000000000104,-0.006158197098295903
2.945,1.0119,1.0026,1.005961333035341,0.00997,0.01036,0.010260645712113816,-0.1701,-0.17093,-0.16979769003034667,-0.009300000000000086,-0.005938666964659056
3.03,1.0203,1.01122,1.0144921861254605,0.01003,0.01041,0.01032230660815931,-0.1698,-0.1708,-0.16951599298747203,-0.009079999999999977,-0.005807813874539436
3.116,1.0289,1.01981,1.0231129255380107,0.01008,0.01045,0.010377038040152125,-0.1695,-0.17066,-0.16925768490312645,-0.00908999999999982,-0.005787074461989228
3.201,1.0371,1.02839,1.0316342744370455,0.01012,0.01049,0.01043245116709352,-0.1692,-0.17052,-0.16891658999480574,-0.008709999999999996,-0.005465725562954438
3.286,1.0454,1.03694,1.040074754773935,0.01017,0.01054,0.01050163121609248,-0.1689,-0.17038,-0.16866164398616756,-0.008460000000000134,-0.005325245226065034
3.372,1.054,1.04547,1.0485006530796352,0.01021,0.01058,0.010545257377040509,-0.1686,-0.17023,-0.16844496427407335,-0.008530000000000149,-0.0054993469203648004
3.457,1.0621,1.05397,1.0571290737716077,0.01027,0.01063,0.010598665744183828,-0.1683,-0.17008,-0.16809368992549714,-0.00812999999999997,-0.004970926228392347
3.543,1.0703,1.06244,1.0655715835218609,0.01033,0.01068,0.010648665744183827,-0.168,-0.16993,-0.16783392436490374,-0.007859999999999978,-0.0047284164781391524
3.628,1.0788,1.07089,1.07408606416863,0.01038,0.01073,0.010698665744183827,-0.1677,-0.16977,-0.16754374780683312,-0.007910000000000084,-0.00471393583136992
3.714,1.087,1.07931,1.0824740124738803,0.01042,0.01077,0.010738665744183827,-0.1674,-0.16961,-0.16714061671064964,-0.007689999999999975,-0.004525987526119657
3.799,1.095,1.0877,1.0908765136517846,0.01048,0.01082,0.01079944267085785,-0.167,-0.16945,-0.1666540185388984,-0.007300000000000084,-0.004123486348215355
3.884,1.1034,1.09605,1.0992165691957516,0.01053,0.01087,0.010861928970003364,-0.1667,-0.16927,-0.16634862578828646,-0.007349999999999968,-0.004183430804248323
3.97,1.1115,1.10438,1.1074715110336297,0.01059,0.01092,0.010915323543823798,-0.1664,-0.1691,-0.1660017780152799,-0.007120000000000015,-0.004028488966370203
4.055,1.1193,1.11267,1.1157504618368723,0.01066,0.01097,0.010976604555296277,-0.1659,-0.16891,-0.16566581370086864,-0.006629999999999914,-0.0035495381631276413
4.141,1.1276,1.12093,1.12399891927653,0.01071,0.01102,0.011041702493127184,-0.1656,-0.16872,-0.16534728290314835,-0.006669999999999954,-0.003601080723469874
4.226,1.1354,1.12915,1.132101649251361,0.01077,0.01107,0.01112362567179282,-0.1652,-0.16853,-0.1650458361711073,-0.006249999999999867,-0.003298350748639045
4.312,1.1428,1.13734,1.1402916492513608,0.01084,0.01113,0.01118362567179282,-0.1647,-0.16832,-0.16472621022616535,-0.00546000000000002,-0.0025083507486391987
4.397,1.1506,1.14548,1.1484314670157556,0.01089,0.01118,0.011235390067587088,-0.1643,-0.16811,-0.16423311005800528,-0.005120000000000013,-0.0021685329842444645
4.482,1.1582,1.15359,1.1562354850674137,0.01094,0.01123,0.011290226078958247,-0.1639,-0.16789,-0.16381005470194102,-0.004610000000000003,-0.0019645149325862032
4.568,1.1654,1.16164,1.164352598177844,0.01101,0.01128,0.011346644909003382,-0.1633,-0.16765,-0.16345949697952272,-0.0037599999999999856,-0.0010474018221560133
4.653,1.1727,1.16964,1.1721923553596854,0.01108,0.01133,0.011399636345841159,-0.1628,-0.16741,-0.1631317591019427,-0.0030600000000000627,-0.0005076446403147195
4.739,1.1803,1.17759,1.1799817906095569,0.01113,0.01138,0.011462610158596708,-0.1623,-0.16715,-0.162649109758423,-0.00270999999999999,-0.000318209390443025
4.824,1.1875,1.18549,1.1877920750553987,0.0112,0.01143,0.011518668455982883,-0.1618,-0.16688,-0.16219512380213516,-0.0020100000000000673,0.0002920750553987439
4.91,1.1945,1.19332,1.1954520127950041,0.01127,0.01148,0.011567089715427931,-0.1613,-0.1666,-0.16181297738463807,-0.0011799999999999589,0.0009520127950042312
4.995,1.2022,1.20111,1.203111881773809,0.01133,0.01153,0.011628535172345867,-0.1608,-0.16631,-0.1613915651577594,-0.0010900000000000354,0.0009118817738089646
5.08,1.2096,1.20884,1.2107883700901871,0.0114,0.01157,0.011689856586673682,-0.1604,-0.166,-0.16093359408961863,-0.0007600000000000939,0.0011883700901871297
5.166,1.2169,1.21655,1.2184731280647847,0.01149,0.01162,0.011766752469722268,-0.1599,-0.16569,-0.16050552532424903,-0.0003500000000000725,0.0015731280647846013
5.251,1.2247,1.22423,1.2259075320623065,0.01156,0.01167,0.011855069984009868,-0.1595,-0.16537,-0.15996717323540185,-0.00046999999999997044,0.0012075320623066155
5.337,1.2327,1.23192,1.233448467647573,0.01162,0.01172,0.011923530345304512,-0.1591,-0.16506,-0.15951086635393993,-0.0007800000000000029,0.0007484676475730812
5.422,1.2404,1.23965,1.2405081464735002,0.0117,0.01177,0.011990722519898741,-0.1587,-0.16475,-0.15888184424633092,-0.0007500000000000284,0.00010814647350021467
5.593,1.2559,1.25535,1.2557144408905017,0.01186,0.01188,0.012110690380177015,-0.1579,-0.1642,-0.15787643799580695,-0.0005500000000000504,-0.00018555910949835663
5.678,1.2637,1.26338,1.2637229192375008,0.01194,0.01194,0.012180910663955644,-0.1575,-0.16397,-0.15734949180318097,-0.000320000000000098,2.291923750075142e-05
5.764,1.2713,1.27151,1.271279268862391,0.01202,0.01201,0.01229389985023001,-0.1571,-0.16378,-0.15696500571583405,0.00020999999999982144,-2.0731137609031336e-05
5.849,1.2787,1.2797,1.2784956855026899,0.01212,0.01209,0.012420126576079802,-0.1566,-0.16362,-0.15655952803468043,0.001000000000000112,-0.00020431449731006524
5.935,1.2868,1.28783,1.2865917423891144,0.01219,0.01215,0.012495075736849715,-0.1563,-0.16347,-0.15619661514654307,0.0010300000000000864,-0.00020825761088549832
6.02,1.2946,1.29574,1.2934264208851476,0.01226,0.0122,0.012556534882541862,-0.1559,-0.16328,-0.15597860733686195,0.0011399999999999189,-0.0011735791148523855
6.106,1.3023,1.30327,1.3008190754530597,0.01235,0.01219,0.012552950526036178,-0.1555,-0.16301,-0.15544600563748923,0.0009699999999999154,-0.0014809245469402654
6.191,1.3097,1.31039,1.3079268092753318,0.01245,0.01208,0.012452052276834909,-0.155,-0.1626,-0.15481613245355802,0.0006899999999998574,-0.0017731907246683054
6.276,1.3172,1.31747,1.3147338611684007,0.01253,0.01188,0.012279117610825925,-0.1546,-0.16212,-0.15417771786670006,0.00026999999999999247,-0.002466138831599185
6.362,1.3253,1.32532,1.3225013821474818,0.0126,0.01163,0.012041057794670062,-0.1542,-0.16178,-0.15377959727711912,2.0000000000131024e-05,-0.002798617852518115
6.447,1.3331,1.33455,1.3317243479873289,0.01267,0.01144,0.011853860467588132,-0.1538,-0.1618,-0.15368173850387246,0.0014499999999999513,-0.0013756520126710914
6.533,1.3408,1.34446,1.341563776578404,0.01276,0.01139,0.011812687682969732,-0.1534,-0.1621,-0.15393428484152066,0.0036599999999999966,0.0007637765784040962
6.618,1.3482,1.35372,1.350560957704722,0.01286,0.01142,0.011865547771361059,-0.153,-0.16234,-0.15407490705237303,0.005519999999999969,0.002360957704721889
6.704,1.3554,1.36196,1.3586139393537375,0.01296,0.01149,0.011946001610773242,-0.1525,-0.16232,-0.15374108597551062,0.006560000000000121,0.0032139393537375938
6.789,1.3634,1.36956,1.3660815573362401,0.01302,0.01158,0.012082957409005854,-0.1521,-0.16211,-0.1534719534664614,0.006160000000000165,0.0026815573362402034
6.874,1.3712,1.37691,1.3730737152934875,0.0131,0.01166,0.012173183853107181,-0.1518,-0.16178,-0.15279028675411338,0.005710000000000104,0.0018737152934875656
6.96,1.3787,1.38421,1.37994251128187,0.01319,0.01175,0.012274034523421037,-0.1513,-0.16141,-0.1521868924237137,0.005509999999999904,0.001242511281869918
7.045,1.3861,1.39152,1.3870188807230646,0.01328,0.01184,0.0123877454644572,-0.1509,-0.16103,-0.15135794087696058,0.00541999999999998,0.0009188807230644525
7.131,1.3932,1.39887,1.394364447342633,0.01339,0.01193,0.01251566583433913,-0.1504,-0.16065,-0.15090657851358294,0.005670000000000064,0.0011644473426331015
7.216,1.4005,1.40626,1.4013548806782543,0.01349,0.01202,0.012652323184741384,-0.1499,-0.16028,-0.15006088163591735,0.005759999999999987,0.0008548806782542329
7.301,1.4083,1.4136036046511626,1.4087451584961184,0.01356,0.012108953488372093,0.012768393924200521,-0.1495,-0.1599143023255814,-0.14960349889404467,0.00530360465116253,0.00044515849611825864
7.387,1.416,1.42115,1.4162028102338167,0.01364,0.0122,0.012874084030780478,-0.1491,-0.15955,-0.14893688117823628,0.005149999999999988,0.00020281023381674146
7.472,1.4234,1.42864,1.4235573084263964,0.01374,0.01229,0.012962567721387494,-0.1487,-0.1592,-0.1483936239997304,0.005239999999999911,0.00015730842639638531
7.558,1.4306,1.43615,1.4301772037517384,0.01384,0.01238,0.013059742627577264,-0.1482,-0.15885,-0.14799943714626645,0.005549999999999944,-0.00042279624826169204
7.643,1.4375,1.44367,1.4375592891311526,0.01395,0.01247,0.013179050634005126,-0.1477,-0.15851,-0.1473413856572882,0.006170000000000009,5.92891311526067e-05
7.729,1.4449,1.4512,1.4451433312116253,0.01404,0.01256,0.01331858956189826,-0.1473,-0.15818,-0.14697370922102043,0.006299999999999972,0.00024333121162523064
7.814,1.4555,1.45873,1.4519758228644892,0.01357,0.01266,0.013444122158465592,-0.1478,-0.15785,-0.14627709653154974,0.003230000000000066,-0.0035241771355107865
7.985,1.4704,1.47381,1.466307041003619,0.01336,0.01284,0.013629718176033541,-0.1469,-0.15722,-0.14517816573659625,0.003410000000000135,-0.004092958996380958
8.07,1.4771,1.48135,1.4737583638681908,0.01349,0.01293,0.013729543913016123,-0.1464,-0.15691,-0.14487260988359146,0.004249999999999865,-0.003341636131809267
8.156,1.4845,1.4889,1.4813756458883098,0.0136,0.01303,0.013871140483846656,-0.1459,-0.15661,-0.144358260346544,0.0043999999999999595,-0.0031243541116900975
8.241,1.4909,1.49644,1.4884945948924442,0.01375,0.01312,0.013963722560491259,-0.1453,-0.15631,-0.1439421242482229,0.0055400000000001,-0.0024054051075557137
8.327,1.4972,1.504,1.4960545948924442,0.0139,0.01321,0.014068467720594032,-0.1447,-0.15602,-0.14355942228174023,0.006799999999999917,-0.0011454051075558969
8.412,1.5045,1.51155,1.5036669458862908,0.01401,0.01331,0.014169404979950827,-0.1443,-0.15574,-0.14321738310372997,0.007050000000000001,-0.0008330541137091529
8.498,1.5109,1.5192081395348838,1.511303001065158,0.01416,0.013411046511627906,0.01429628468948858,-0.1437,-0.1554567441860465,-0.1428955628720694,0.008308139534883852,0.00040300106515811507
8.583,1.5169,1.5267,1.5184118908869229,0.01433,0.0135,0.014417650308521553,-0.143,-0.15518,-0.1425475556047796,0.009800000000000031,0.0015118908869229397
8.668,1.5245,1.53428,1.525772395657708,0.01441,0.0136,0.014540339059349863,-0.1426,-0.15491,-0.14224414848620007,0.009780000000000122,0.001272395657708092
8.754,1.5317,1.54188,1.5333207343994797,0.01452,0.0137,0.014649745506271756,-0.1421,-0.15465,-0.1418447919541553,0.010179999999999856,0.0016207343994796286
8.839,1.5385,1.54949,1.5408397725055292,0.01465,0.01379,0.01473677310504561,-0.1416,-0.15439,-0.1413392669893982,0.010990000000000055,0.002339772505529192
8.925,1.5449,1.55711,1.5479039378726092,0.0148,0.01389,0.014861114725215997,-0.141,-0.15413,-0.14106140717764512,0.012210000000000054,0.003003937872609219
9.01,1.5518,1.56473,1.5547041024095447,0.01493,0.01399,0.014950477321894105,-0.1405,-0.15387,-0.1406275788064895,0.012929999999999886,0.00290410240954464
9.095,1.5589,1.57236,1.5618358954285934,0.01504,0.01409,0.01504955093177496,-0.14,-0.15361,-0.14024103406488747,0.013460000000000027,0.0029358954285934047
9.181,1.5658,1.57998,1.5680733901382526,0.01517,0.01419,0.015193242874315609,-0.1395,-0.15335,-0.1399231519195678,0.01417999999999986,0.0022733901382525623
